Player,Age,Team,Role,Runs,Price (Cr)
Virat Kohli,34,RCB,Batsman,6000,15
MS Dhoni,42,CSK,Wicketkeeper,5000,12
Shubman Gill,24,GT,Batsman,3000,8
Rohit Sharma,36,MI,Batsman,5000,13
Hardik Pandya,29,MI,All-rounder,2500,11
KL Rahul,31,PBKS,Batsman,4800,10
Andre Russell,35,KKR,All-rounder,2800,9
Ben Stokes,33,RR,All-rounder,3100,14
David Warner,37,DC,Batsman,6000,16
Jonny Bairstow,33,PBKS,Wicketkeeper,3700,7
Ishan Kishan,25,MI,Wicketkeeper,3500,6
Suresh Raina,38,CSK,Batsman,4500,5
Shreyas Iyer,28,KKR,Batsman,4100,9
Jofra Archer,28,MI,Bowler,1500,6
Sunil Narine,35,KKR,Bowler,1100,5
